aug,p,dataset,project,run_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
control,0.0,Dataset,runs\kitti,kitti_control,30,1083.11,0.79324,0.50219,0.89701,0.86108,0.74647,0.85058,0.61215,0.81303,0.5048,0.90224,3.5819e-05,3.5819e-05,3.5819e-05
mirror,1.0,Dataset_mirror_p10,runs\kitti,kitti_mirror_p1.0,30,1068.3,0.78524,0.49796,0.89469,0.86594,0.76123,0.85326,0.61394,0.81283,0.50734,0.89852,3.5819e-05,3.5819e-05,3.5819e-05
rotate,1.0,Dataset_rotate_p10,runs\kitti,kitti_rotate_p1.0,30,1065.16,0.89718,0.62823,0.9557,0.82087,0.66574,0.75953,0.49119,1.04865,0.63959,0.95572,3.5819e-05,3.5819e-05,3.5819e-05
zoom,1.0,Dataset_zoom_p10,runs\kitti,kitti_zoom_p1.0,30,1051.83,0.82182,0.52206,0.90499,0.83751,0.73991,0.82929,0.58793,0.8444,0.52742,0.90932,3.5819e-05,3.5819e-05,3.5819e-05
crop,1.0,Dataset_crop_p10,runs\kitti,kitti_crop_p1.0,30,1056.75,0.76983,0.51972,0.99254,0.64246,0.32482,0.38672,0.2161,1.41103,1.09434,1.11366,3.5819e-05,3.5819e-05,3.5819e-05
brightness,1.0,Dataset_brightness_p10,runs\kitti,kitti_brightness_p1.0,30,1052.4,0.82192,0.52136,0.90527,0.84902,0.77259,0.84697,0.60553,0.83733,0.51667,0.9058,3.5819e-05,3.5819e-05,3.5819e-05
contrast,1.0,Dataset_contrast_p10,runs\kitti,kitti_contrast_p1.0,30,1051.03,0.7913,0.50158,0.89639,0.8665,0.76652,0.85336,0.6083,0.81822,0.50799,0.89927,3.5819e-05,3.5819e-05,3.5819e-05
sharpness,1.0,Dataset_sharpness_p10,runs\kitti,kitti_sharpness_p1.0,30,1047.39,0.79533,0.50389,0.89677,0.86346,0.76377,0.85565,0.61289,0.81235,0.5056,0.90086,3.5819e-05,3.5819e-05,3.5819e-05
blur,1.0,Dataset_blur_p10,runs\kitti,kitti_blur_p1.0,30,1044.9,0.80883,0.50836,0.89932,0.83684,0.75041,0.83439,0.5973,0.82626,0.51187,0.90001,3.5819e-05,3.5819e-05,3.5819e-05
dropout,1.0,Dataset_dropout_p10,runs\kitti,kitti_dropout_p1.0,30,1042.14,0.83362,0.52825,0.90747,0.81514,0.78205,0.84715,0.593,0.85612,0.52033,0.90648,3.5819e-05,3.5819e-05,3.5819e-05
rotate,0.5,Dataset_rotate_p05,runs\kitti,kitti_rotate_p0.5,30,1053.41,0.90101,0.60321,0.94624,0.8109,0.736,0.80374,0.54787,0.89693,0.56895,0.92167,3.5819e-05,3.5819e-05,3.5819e-05
zoom,0.5,Dataset_zoom_p05,runs\kitti,kitti_zoom_p0.5,30,1049.26,0.80781,0.51265,0.90159,0.84692,0.77,0.83955,0.59965,0.8345,0.51749,0.90601,3.5819e-05,3.5819e-05,3.5819e-05
crop,0.5,Dataset_crop_p05,runs\kitti,kitti_crop_p0.5,30,1051.04,0.85873,0.57354,0.9853,0.79875,0.70942,0.78763,0.53639,0.93024,0.58763,0.92773,3.5819e-05,3.5819e-05,3.5819e-05
brightness,0.5,Dataset_brightness_p05,runs\kitti,kitti_brightness_p0.5,30,1056.61,0.80809,0.51175,0.90231,0.87981,0.76577,0.84496,0.60329,0.82302,0.51208,0.90045,3.5819e-05,3.5819e-05,3.5819e-05
contrast,0.5,Dataset_contrast_p05,runs\kitti,kitti_contrast_p0.5,30,1047.83,0.78773,0.49964,0.89473,0.84029,0.79895,0.85021,0.60196,0.81733,0.50809,0.89856,3.5819e-05,3.5819e-05,3.5819e-05
sharpness,0.5,Dataset_sharpness_p05,runs\kitti,kitti_sharpness_p0.5,30,1047.03,0.7975,0.50463,0.8967,0.87027,0.75613,0.84681,0.60932,0.81073,0.50844,0.89515,3.5819e-05,3.5819e-05,3.5819e-05
blur,0.5,Dataset_blur_p05,runs\kitti,kitti_blur_p0.5,30,1049.15,0.80226,0.50627,0.89832,0.84189,0.7665,0.84748,0.60129,0.82147,0.50612,0.90228,3.5819e-05,3.5819e-05,3.5819e-05
dropout,0.5,Dataset_dropout_p05,runs\kitti,kitti_dropout_p0.5,30,1048.44,0.82232,0.51768,0.90424,0.87302,0.74636,0.84244,0.59887,0.83338,0.51783,0.90304,3.5819e-05,3.5819e-05,3.5819e-05
rotate,0.25,Dataset_rotate_p025,runs\kitti,kitti_rotate_p0.25,30,1051.35,0.86713,0.56377,0.92729,0.83037,0.75577,0.82607,0.57655,0.85313,0.53746,0.90995,3.5819e-05,3.5819e-05,3.5819e-05
zoom,0.25,Dataset_zoom_p025,runs\kitti,kitti_zoom_p0.25,30,1053.78,0.80192,0.50947,0.899,0.84388,0.78618,0.84315,0.6049,0.82204,0.51361,0.9005,3.5819e-05,3.5819e-05,3.5819e-05
crop,0.25,Dataset_crop_p025,runs\kitti,kitti_crop_p0.25,30,1050.4,0.8584,0.56607,0.9568,0.87169,0.74498,0.83857,0.58831,0.86507,0.54558,0.91081,3.5819e-05,3.5819e-05,3.5819e-05
brightness,0.25,Dataset_brightness_p025,runs\kitti,kitti_brightness_p0.25,30,1046.34,0.80205,0.50923,0.89936,0.90713,0.72848,0.84671,0.60768,0.82195,0.51067,0.90722,3.5819e-05,3.5819e-05,3.5819e-05
contrast,0.25,Dataset_contrast_p025,runs\kitti,kitti_contrast_p0.25,30,1052.36,0.78994,0.50013,0.89532,0.86488,0.76127,0.85002,0.6156,0.81208,0.50351,0.89827,3.5819e-05,3.5819e-05,3.5819e-05
