aug,p,dataset,project,run_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
brightness,0.5,Dataset_brightness_p05,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_brightness_p05,30,2965.49,1.13646,1.15926,1.18921,0.59086,0.43562,0.46599,0.32359,1.18886,1.31114,1.19794,0.00043,0.00043,0.00043
contrast,0.5,Dataset_contrast_p05,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_contrast_p05,30,2958.25,1.12834,1.14415,1.18419,0.59984,0.43559,0.47014,0.3263,1.1879,1.30781,1.19614,0.00043,0.00043,0.00043
sharpness,0.5,Dataset_sharpness_p05,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_sharpness_p05,30,2983.94,1.13478,1.15679,1.18941,0.57974,0.44027,0.46648,0.32312,1.18951,1.31333,1.1993,0.00043,0.00043,0.00043
blur,0.5,Dataset_blur_p05,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_blur_p05,30,2995.81,1.15541,1.17745,1.19947,0.58008,0.43447,0.46036,0.31993,1.1953,1.32524,1.20154,0.00043,0.00043,0.00043
dropout,0.5,Dataset_dropout_p05,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_dropout_p05,30,2947.15,1.14985,1.1642,1.19744,0.58413,0.43993,0.46695,0.32408,1.19383,1.31566,1.19951,0.00043,0.00043,0.00043
rotate,0.25,Dataset_rotate_p025,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_rotate_p025,30,2944.99,1.23234,1.23855,1.26474,0.55625,0.432,0.45616,0.31274,1.22251,1.34424,1.21793,0.00043,0.00043,0.00043
zoom,0.25,Dataset_zoom_p025,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_zoom_p025,30,2947.57,1.14532,1.16531,1.19179,0.57139,0.43505,0.4633,0.32007,1.19613,1.3166,1.20381,0.00043,0.00043,0.00043
crop,0.25,Dataset_crop_p025,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_crop_p025,30,2951.9,1.13367,1.18032,1.20917,0.5812,0.43449,0.46498,0.32236,1.19453,1.31496,1.2033,0.00043,0.00043,0.00043
brightness,0.25,Dataset_brightness_p025,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_brightness_p025,30,2945.52,1.13366,1.15165,1.18704,0.59783,0.43287,0.46799,0.32562,1.19114,1.30852,1.19947,0.00043,0.00043,0.00043
contrast,0.25,Dataset_contrast_p025,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_contrast_p025,30,2943.02,1.1288,1.14474,1.18342,0.58143,0.43137,0.46399,0.322,1.18953,1.31386,1.19918,0.00043,0.00043,0.00043
sharpness,0.25,Dataset_sharpness_p025,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_sharpness_p025,30,2936.17,1.133,1.15217,1.18656,0.57601,0.44418,0.46687,0.32394,1.18754,1.30868,1.19636,0.00043,0.00043,0.00043
blur,0.25,Dataset_blur_p025,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_blur_p025,30,2944.78,1.14411,1.16461,1.19334,0.59123,0.43473,0.46746,0.32412,1.19261,1.31492,1.20134,0.00043,0.00043,0.00043
dropout,0.25,Dataset_dropout_p025,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_dropout_p025,30,2972.12,1.14089,1.15552,1.1895,0.58123,0.4386,0.46674,0.32359,1.19245,1.3107,1.19913,0.00043,0.00043,0.00043
