epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.965,1.18642,1.30967,1.2242,0.55643,0.42512,0.45103,0.30998,1.21009,1.39618,1.20868,0.00332481,0.00332481,0.00332481
2,251.732,1.26851,1.54318,1.27479,0.39343,0.25088,0.23122,0.14265,1.47803,2.09157,1.40102,0.00643842,0.00643842,0.00643842
3,351.512,1.42626,1.95027,1.38806,0.23487,0.11651,0.07186,0.04041,1.84879,3.20865,1.70229,0.00933204,0.00933204,0.00933204
4,452.219,1.51622,2.20907,1.4646,0.2915,0.17921,0.13846,0.08267,1.60882,2.56334,1.56954,0.00901,0.00901,0.00901
5,551.228,1.47555,2.09709,1.43488,0.37164,0.23069,0.20937,0.13016,1.52052,2.19941,1.46823,0.00868,0.00868,0.00868
6,650.752,1.44027,1.99776,1.41238,0.43732,0.25869,0.25054,0.15501,1.4625,2.00535,1.42041,0.00835,0.00835,0.00835
7,749.725,1.41981,1.9463,1.39342,0.43572,0.27178,0.27215,0.17383,1.41822,1.92977,1.36878,0.00802,0.00802,0.00802
8,848.01,1.39806,1.87649,1.37987,0.46074,0.28775,0.28542,0.18156,1.41639,1.90866,1.37871,0.00769,0.00769,0.00769
9,946.871,1.37326,1.82176,1.35877,0.44537,0.31048,0.30735,0.19967,1.3972,1.79216,1.3678,0.00736,0.00736,0.00736
10,1045.64,1.36311,1.78606,1.35261,0.4564,0.33987,0.33315,0.21682,1.35508,1.68878,1.32332,0.00703,0.00703,0.00703
11,1143.85,1.34885,1.75314,1.34082,0.5012,0.339,0.35127,0.23058,1.33829,1.64961,1.3103,0.0067,0.0067,0.0067
12,1242.23,1.33743,1.71788,1.33243,0.50837,0.34292,0.35287,0.23305,1.3356,1.66867,1.3193,0.00637,0.00637,0.00637
13,1340.57,1.32652,1.69572,1.32814,0.50255,0.36443,0.37315,0.2497,1.29693,1.5784,1.28121,0.00604,0.00604,0.00604
14,1438.77,1.31792,1.65777,1.31863,0.51121,0.36226,0.37785,0.25229,1.2929,1.56559,1.2774,0.00571,0.00571,0.00571
15,1537.01,1.30541,1.63506,1.30913,0.52787,0.37593,0.38972,0.26128,1.27163,1.51675,1.26327,0.00538,0.00538,0.00538
16,1635.2,1.29233,1.60693,1.30293,0.54601,0.38389,0.40376,0.27032,1.26768,1.48233,1.25457,0.00505,0.00505,0.00505
17,1733.09,1.28333,1.58662,1.29541,0.55041,0.39328,0.41652,0.28305,1.25461,1.44852,1.24529,0.00472,0.00472,0.00472
18,1830.94,1.27492,1.55536,1.2874,0.56459,0.39968,0.4254,0.28901,1.24453,1.42494,1.24322,0.00439,0.00439,0.00439
19,1928.84,1.26656,1.5395,1.2829,0.5496,0.40678,0.42823,0.29212,1.23577,1.41308,1.23343,0.00406,0.00406,0.00406
20,2027.21,1.25796,1.51569,1.27628,0.55987,0.40886,0.43466,0.29642,1.22762,1.39433,1.22818,0.00373,0.00373,0.00373
21,2126.28,1.27151,1.46152,1.28253,0.54667,0.41606,0.43315,0.29603,1.22974,1.40016,1.22799,0.0034,0.0034,0.0034
22,2223.02,1.25384,1.40966,1.26824,0.55797,0.42161,0.44101,0.30216,1.21711,1.38114,1.22019,0.00307,0.00307,0.00307
23,2319.5,1.23937,1.38391,1.26108,0.57668,0.41506,0.4459,0.30662,1.21474,1.37144,1.22131,0.00274,0.00274,0.00274
24,2416.09,1.23003,1.35313,1.25315,0.55308,0.42612,0.45,0.30916,1.21123,1.3596,1.21987,0.00241,0.00241,0.00241
25,2512.62,1.21914,1.32047,1.24412,0.57451,0.42697,0.45496,0.31422,1.20553,1.34641,1.21195,0.00208,0.00208,0.00208
26,2609.18,1.20512,1.28978,1.23395,0.58033,0.42618,0.4564,0.31601,1.20232,1.34274,1.21042,0.00175,0.00175,0.00175
27,2705.65,1.19153,1.25894,1.22311,0.56991,0.43633,0.46074,0.31907,1.20026,1.33131,1.20671,0.00142,0.00142,0.00142
28,2802.44,1.18102,1.23312,1.21719,0.56338,0.44091,0.4611,0.31967,1.19785,1.33112,1.20381,0.00109,0.00109,0.00109
29,2899.02,1.16725,1.20578,1.20864,0.58976,0.42896,0.46097,0.32007,1.19672,1.32811,1.20428,0.00076,0.00076,0.00076
30,2995.81,1.15541,1.17745,1.19947,0.58008,0.43447,0.46036,0.31993,1.1953,1.32524,1.20154,0.00043,0.00043,0.00043
