epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.317,1.16496,1.27017,1.21202,0.58884,0.42014,0.45556,0.31366,1.19909,1.39091,1.19482,0.00332481,0.00332481,0.00332481
2,247.09,1.25077,1.50182,1.26432,0.47223,0.29047,0.28122,0.17756,1.4308,1.95408,1.37985,0.00643842,0.00643842,0.00643842
3,345.231,1.40852,1.90649,1.37505,0.18938,0.0948,0.05201,0.02967,1.84479,3.39137,1.72029,0.00933204,0.00933204,0.00933204
4,443.952,1.49856,2.1594,1.45139,0.27263,0.1694,0.12609,0.0736,1.67152,2.59704,1.59597,0.00901,0.00901,0.00901
5,541.677,1.45846,2.05307,1.42381,0.38962,0.22756,0.20011,0.12349,1.51634,2.30572,1.49719,0.00868,0.00868,0.00868
6,639.791,1.42498,1.96026,1.40211,0.41545,0.25291,0.24227,0.15093,1.4663,2.03535,1.41958,0.00835,0.00835,0.00835
7,738.031,1.4024,1.90389,1.38324,0.41888,0.26626,0.25894,0.1641,1.44246,2.00196,1.38224,0.00802,0.00802,0.00802
8,834.7,1.3793,1.83968,1.36792,0.43798,0.28236,0.27889,0.17943,1.42107,1.92849,1.36651,0.00769,0.00769,0.00769
9,931.25,1.35539,1.78758,1.34851,0.45973,0.32014,0.3213,0.20844,1.38493,1.76586,1.3511,0.00736,0.00736,0.00736
10,1028,1.34735,1.75091,1.34236,0.46336,0.33445,0.33577,0.21859,1.36288,1.71505,1.33108,0.00703,0.00703,0.00703
11,1125.2,1.33463,1.71968,1.33071,0.49623,0.33752,0.34141,0.22526,1.33082,1.67482,1.30629,0.0067,0.0067,0.0067
12,1221.91,1.32128,1.68198,1.32239,0.49823,0.34211,0.35243,0.23374,1.32327,1.6886,1.31055,0.00637,0.00637,0.00637
13,1318.8,1.30972,1.65617,1.31666,0.52743,0.36272,0.38146,0.25437,1.29786,1.55398,1.28392,0.00604,0.00604,0.00604
14,1415.88,1.30168,1.62356,1.30701,0.52214,0.3783,0.39586,0.26502,1.28166,1.51839,1.2727,0.00571,0.00571,0.00571
15,1513.09,1.29097,1.60044,1.29915,0.53473,0.38005,0.39961,0.26792,1.27166,1.49814,1.26423,0.00538,0.00538,0.00538
16,1609.98,1.275,1.57384,1.29244,0.54284,0.38219,0.40837,0.276,1.26545,1.49082,1.25881,0.00505,0.00505,0.00505
17,1706.81,1.26564,1.55109,1.28477,0.54089,0.3983,0.41941,0.28473,1.24709,1.44279,1.24814,0.00472,0.00472,0.00472
18,1803.48,1.25819,1.52327,1.27823,0.55797,0.40587,0.4299,0.29065,1.24283,1.41561,1.23841,0.00439,0.00439,0.00439
19,1900.46,1.25029,1.50566,1.27319,0.56495,0.41067,0.43828,0.29813,1.23036,1.38936,1.2302,0.00406,0.00406,0.00406
20,1997.24,1.24024,1.48349,1.26594,0.57337,0.40734,0.44006,0.30205,1.21923,1.39029,1.2222,0.00373,0.00373,0.00373
21,2093.88,1.24861,1.42685,1.26667,0.56019,0.41935,0.44126,0.30257,1.2207,1.37471,1.2247,0.0034,0.0034,0.0034
22,2188.7,1.23271,1.37711,1.25527,0.56791,0.41751,0.44635,0.30752,1.21437,1.36292,1.21822,0.00307,0.00307,0.00307
23,2283.31,1.21894,1.34941,1.2466,0.5722,0.42203,0.45371,0.31317,1.20671,1.3532,1.21215,0.00274,0.00274,0.00274
24,2378.04,1.20901,1.32423,1.23905,0.59248,0.42078,0.45632,0.31712,1.20202,1.33987,1.20933,0.00241,0.00241,0.00241
25,2472.58,1.19385,1.2886,1.22827,0.5774,0.42706,0.45855,0.3177,1.2,1.33726,1.20817,0.00208,0.00208,0.00208
26,2567.2,1.18313,1.26313,1.2204,0.58444,0.42761,0.46077,0.31925,1.19809,1.32906,1.20588,0.00175,0.00175,0.00175
27,2661.74,1.17055,1.23096,1.21116,0.58066,0.43158,0.4625,0.32094,1.1958,1.32196,1.20339,0.00142,0.00142,0.00142
28,2756.39,1.15864,1.20352,1.20434,0.57841,0.43449,0.46578,0.32355,1.19466,1.31643,1.20268,0.00109,0.00109,0.00109
29,2850.94,1.14675,1.17715,1.19614,0.59598,0.42793,0.4666,0.32431,1.19263,1.31103,1.20212,0.00076,0.00076,0.00076
30,2945.52,1.13366,1.15165,1.18704,0.59783,0.43287,0.46799,0.32562,1.19114,1.30852,1.19947,0.00043,0.00043,0.00043
