epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.443,1.17749,1.32963,1.22355,0.56513,0.40872,0.43885,0.29877,1.1912,1.38693,1.18598,0.00332481,0.00332481,0.00332481
2,161.239,1.27272,1.56617,1.2727,0.4206,0.24459,0.23749,0.14911,1.43287,2.147,1.36903,0.00643842,0.00643842,0.00643842
3,219.489,1.42386,1.98494,1.39541,0.29465,0.10967,0.0752,0.04231,1.7473,3.1212,1.66812,0.00933204,0.00933204,0.00933204
4,276.379,1.51303,2.22744,1.46853,0.32568,0.16109,0.13333,0.07955,1.60766,2.55065,1.52811,0.00901,0.00901,0.00901
5,333.962,1.47019,2.11174,1.43483,0.36019,0.20186,0.18324,0.11226,1.54193,2.28668,1.48985,0.00868,0.00868,0.00868
6,390.934,1.43616,2.01594,1.40893,0.35159,0.21405,0.18961,0.1167,1.50102,2.33585,1.45983,0.00835,0.00835,0.00835
7,448.137,1.40544,1.9602,1.38918,0.42409,0.27021,0.26208,0.16514,1.39952,1.92213,1.37881,0.00802,0.00802,0.00802
8,505.172,1.37772,1.89175,1.37154,0.47412,0.28776,0.29023,0.18624,1.37639,1.84089,1.34703,0.00769,0.00769,0.00769
9,561.922,1.37455,1.85593,1.36669,0.46453,0.29347,0.28994,0.18596,1.37781,1.84537,1.33844,0.00736,0.00736,0.00736
10,618.703,1.34949,1.80276,1.35761,0.44726,0.33109,0.32792,0.21227,1.33644,1.69085,1.31507,0.00703,0.00703,0.00703
11,674.866,1.33244,1.76559,1.34058,0.49752,0.32026,0.33238,0.21838,1.31089,1.68005,1.28866,0.0067,0.0067,0.0067
12,731.191,1.3218,1.73101,1.32856,0.51663,0.34364,0.35536,0.23684,1.29248,1.59741,1.27263,0.00637,0.00637,0.00637
13,787.73,1.32454,1.71357,1.32815,0.50655,0.36054,0.36803,0.24485,1.28834,1.55379,1.27486,0.00604,0.00604,0.00604
14,844.318,1.30362,1.65977,1.31704,0.52741,0.36726,0.38977,0.26115,1.26722,1.51336,1.25892,0.00571,0.00571,0.00571
15,901.047,1.2968,1.65703,1.30904,0.53207,0.37106,0.39237,0.26393,1.25329,1.50872,1.2525,0.00538,0.00538,0.00538
16,958.02,1.283,1.62787,1.30351,0.52675,0.38041,0.39999,0.27202,1.23396,1.4694,1.23337,0.00505,0.00505,0.00505
17,1014.34,1.28675,1.60151,1.30213,0.55275,0.38197,0.40529,0.27518,1.22935,1.45459,1.23067,0.00472,0.00472,0.00472
18,1071.33,1.26578,1.57554,1.28833,0.54408,0.39886,0.41815,0.28324,1.22272,1.42462,1.22384,0.00439,0.00439,0.00439
19,1127.91,1.25689,1.5738,1.28631,0.55397,0.39599,0.42086,0.28621,1.21305,1.40511,1.21384,0.00406,0.00406,0.00406
20,1184.76,1.24713,1.52513,1.27796,0.57679,0.40019,0.43264,0.29747,1.20044,1.37733,1.20416,0.00373,0.00373,0.00373
21,1242.9,1.24863,1.46566,1.27432,0.55983,0.40704,0.43063,0.29434,1.2003,1.38085,1.20681,0.0034,0.0034,0.0034
22,1299.62,1.23634,1.4247,1.26848,0.56937,0.41046,0.43676,0.29934,1.19817,1.3673,1.20302,0.00307,0.00307,0.00307
23,1355.43,1.21357,1.38791,1.25419,0.55379,0.42081,0.44276,0.30515,1.18964,1.35207,1.19936,0.00274,0.00274,0.00274
24,1411.24,1.2165,1.36573,1.24789,0.57985,0.41535,0.44677,0.3085,1.18413,1.33806,1.19462,0.00241,0.00241,0.00241
25,1467.85,1.2054,1.34097,1.24274,0.57499,0.42161,0.45169,0.31224,1.18019,1.32996,1.1929,0.00208,0.00208,0.00208
26,1523.64,1.1912,1.29858,1.23078,0.57902,0.42693,0.45393,0.31433,1.17879,1.32722,1.18844,0.00175,0.00175,0.00175
27,1580.15,1.17514,1.27591,1.22601,0.58322,0.42775,0.45614,0.31583,1.17657,1.31926,1.18593,0.00142,0.00142,0.00142
28,1637.29,1.16914,1.25681,1.21436,0.57738,0.43062,0.45714,0.31642,1.17252,1.31487,1.18328,0.00109,0.00109,0.00109
29,1693.5,1.1505,1.21873,1.20361,0.56004,0.43935,0.45982,0.31847,1.17231,1.30871,1.18266,0.00076,0.00076,0.00076
30,1750.2,1.15407,1.20341,1.20425,0.56872,0.43648,0.46073,0.31897,1.17174,1.30641,1.1832,0.00043,0.00043,0.00043
