epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.624,1.1763,1.3581,1.25485,0.5757,0.41532,0.44781,0.30597,1.22365,1.39908,1.21304,0.00332481,0.00332481,0.00332481
2,246.952,1.25172,1.58903,1.30153,0.43088,0.2786,0.26759,0.16779,1.46589,1.94786,1.39423,0.00643842,0.00643842,0.00643842
3,345.764,1.40594,2.00846,1.41727,0.22523,0.10817,0.06098,0.03398,1.91591,3.47901,1.81778,0.00933204,0.00933204,0.00933204
4,452.286,1.49446,2.26502,1.49454,0.2681,0.1607,0.10908,0.06391,1.68042,3.19753,1.6143,0.00901,0.00901,0.00901
5,551.447,1.45126,2.15581,1.4671,0.32805,0.22669,0.19207,0.11533,1.58562,2.33885,1.54508,0.00868,0.00868,0.00868
6,648.098,1.41643,2.05575,1.44219,0.35737,0.21976,0.1964,0.11973,1.52737,2.24224,1.48987,0.00835,0.00835,0.00835
7,745.936,1.39409,1.99338,1.42038,0.43237,0.27246,0.26751,0.17198,1.42933,1.95416,1.38867,0.00802,0.00802,0.00802
8,842.689,1.37176,1.92605,1.40662,0.43282,0.28108,0.26981,0.17154,1.43012,1.93165,1.39439,0.00769,0.00769,0.00769
9,939.933,1.35073,1.87442,1.38886,0.43628,0.31359,0.30189,0.19379,1.40534,1.79384,1.3651,0.00736,0.00736,0.00736
10,1036.64,1.34101,1.83615,1.38327,0.46764,0.31302,0.31841,0.20756,1.37989,1.776,1.34819,0.00703,0.00703,0.00703
11,1133.51,1.32595,1.80093,1.37192,0.4667,0.34451,0.34016,0.2228,1.3396,1.66143,1.31564,0.0067,0.0067,0.0067
12,1229.86,1.31348,1.76917,1.36243,0.48884,0.34302,0.34855,0.23082,1.32029,1.66164,1.31728,0.00637,0.00637,0.00637
13,1326.42,1.30063,1.74143,1.35459,0.51514,0.35952,0.375,0.25037,1.30413,1.58041,1.29776,0.00604,0.00604,0.00604
14,1423.13,1.29401,1.70148,1.34464,0.49234,0.36556,0.37337,0.25032,1.2958,1.5689,1.28042,0.00571,0.00571,0.00571
15,1519.52,1.28448,1.67854,1.33728,0.52253,0.36629,0.3819,0.2559,1.27795,1.53209,1.28128,0.00538,0.00538,0.00538
16,1615.39,1.26786,1.65648,1.32992,0.5383,0.38138,0.40006,0.26993,1.27028,1.4906,1.25682,0.00505,0.00505,0.00505
17,1711.14,1.25929,1.63179,1.32278,0.53588,0.38935,0.4067,0.27654,1.25575,1.46657,1.25666,0.00472,0.00472,0.00472
18,1807.16,1.25247,1.59962,1.31417,0.54736,0.38943,0.41602,0.28345,1.24373,1.44218,1.24247,0.00439,0.00439,0.00439
19,1903.7,1.24388,1.58054,1.30714,0.54261,0.40438,0.42495,0.28918,1.23533,1.41831,1.23705,0.00406,0.00406,0.00406
20,1999.79,1.23365,1.556,1.30219,0.55256,0.41236,0.43511,0.29815,1.22652,1.40122,1.22904,0.00373,0.00373,0.00373
21,2095.91,1.25282,1.49174,1.31627,0.54503,0.41241,0.42989,0.29433,1.2244,1.39818,1.22973,0.0034,0.0034,0.0034
22,2190.05,1.23577,1.44009,1.30424,0.56133,0.4139,0.44049,0.30198,1.21778,1.37961,1.22415,0.00307,0.00307,0.00307
23,2284.14,1.2221,1.41161,1.29525,0.54712,0.4251,0.44591,0.30785,1.21185,1.36687,1.22011,0.00274,0.00274,0.00274
24,2378.3,1.20982,1.37846,1.28596,0.57813,0.41374,0.44754,0.30865,1.21025,1.35567,1.21908,0.00241,0.00241,0.00241
25,2472.71,1.19561,1.34908,1.27502,0.57859,0.41791,0.44949,0.31092,1.20655,1.35198,1.21581,0.00208,0.00208,0.00208
26,2566.97,1.18333,1.31633,1.26899,0.56671,0.42492,0.45357,0.31557,1.20244,1.34145,1.21375,0.00175,0.00175,0.00175
27,2661.28,1.17234,1.28483,1.25775,0.58299,0.42425,0.45798,0.31791,1.19856,1.33334,1.20911,0.00142,0.00142,0.00142
28,2755.85,1.15959,1.25741,1.24799,0.57266,0.42758,0.45845,0.31808,1.19782,1.33192,1.20746,0.00109,0.00109,0.00109
29,2850.14,1.14871,1.23177,1.24196,0.56065,0.43348,0.45828,0.31809,1.19577,1.32956,1.2064,0.00076,0.00076,0.00076
30,2944.95,1.13524,1.20329,1.23169,0.56252,0.43756,0.46091,0.3203,1.19576,1.32728,1.20566,0.00043,0.00043,0.00043
