epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.89,1.21122,1.37654,1.24794,0.57717,0.42282,0.44738,0.30679,1.20655,1.36666,1.19267,0.00332481,0.00332481,0.00332481
2,161.286,1.29495,1.61977,1.29595,0.41824,0.24692,0.23327,0.14825,1.42236,2.03973,1.33617,0.00643842,0.00643842,0.00643842
3,219.767,1.46337,2.0231,1.41278,0.232,0.10137,0.06459,0.03638,1.83041,3.12215,1.7082,0.00933204,0.00933204,0.00933204
4,277.093,1.54923,2.2855,1.49529,0.32152,0.16428,0.14093,0.08439,1.64749,2.60388,1.57347,0.00901,0.00901,0.00901
5,335.009,1.50188,2.18372,1.46163,0.38479,0.22247,0.20334,0.12288,1.533,2.15851,1.46378,0.00868,0.00868,0.00868
6,393.518,1.47013,2.0743,1.43387,0.35923,0.24906,0.23231,0.14562,1.47042,2.02528,1.41127,0.00835,0.00835,0.00835
7,450.234,1.43595,2.00654,1.40913,0.40844,0.27247,0.25685,0.16211,1.43579,1.95143,1.38752,0.00802,0.00802,0.00802
8,507.625,1.42543,1.95712,1.40407,0.41242,0.28443,0.27648,0.17471,1.4152,1.8754,1.35164,0.00769,0.00769,0.00769
9,565.132,1.41221,1.90363,1.38688,0.46677,0.30982,0.30514,0.19419,1.37486,1.77121,1.33385,0.00736,0.00736,0.00736
10,622.04,1.38298,1.85182,1.37269,0.46421,0.30685,0.31225,0.20172,1.36604,1.78478,1.34535,0.00703,0.00703,0.00703
11,678.868,1.37811,1.83136,1.36766,0.47607,0.32989,0.33298,0.21863,1.32394,1.65999,1.29885,0.0067,0.0067,0.0067
12,735.835,1.35625,1.78815,1.35141,0.51006,0.34271,0.35591,0.23276,1.31188,1.61347,1.29367,0.00637,0.00637,0.00637
13,793.495,1.3389,1.75089,1.34386,0.50713,0.35532,0.36328,0.23913,1.29638,1.58631,1.27668,0.00604,0.00604,0.00604
14,850.46,1.33199,1.72836,1.34023,0.50242,0.36519,0.37876,0.25217,1.27237,1.52848,1.25956,0.00571,0.00571,0.00571
15,907.637,1.32666,1.69944,1.32825,0.53701,0.35897,0.37851,0.25287,1.26066,1.51816,1.25326,0.00538,0.00538,0.00538
16,964.291,1.32212,1.67728,1.32067,0.52417,0.37558,0.3943,0.26531,1.25231,1.483,1.24228,0.00505,0.00505,0.00505
17,1020.77,1.30526,1.63479,1.31633,0.52324,0.38989,0.40617,0.27176,1.24852,1.45367,1.23853,0.00472,0.00472,0.00472
18,1077.77,1.30551,1.6162,1.31094,0.54682,0.39665,0.4165,0.2815,1.23144,1.42606,1.225,0.00439,0.00439,0.00439
19,1134.14,1.29344,1.59464,1.301,0.54727,0.40239,0.42356,0.28716,1.22063,1.41077,1.21835,0.00406,0.00406,0.00406
20,1191.14,1.27565,1.58115,1.29222,0.56506,0.40282,0.42862,0.29028,1.21419,1.39468,1.2146,0.00373,0.00373,0.00373
21,1249.88,1.29284,1.49443,1.29812,0.54793,0.40398,0.43013,0.29331,1.21318,1.38814,1.21194,0.0034,0.0034,0.0034
22,1305.97,1.27077,1.45419,1.28221,0.56081,0.40575,0.43345,0.29637,1.20587,1.37564,1.20714,0.00307,0.00307,0.00307
23,1362.47,1.2498,1.42874,1.27852,0.56489,0.41403,0.43698,0.29877,1.20368,1.37154,1.20656,0.00274,0.00274,0.00274
24,1419.31,1.25448,1.41222,1.27324,0.5749,0.41389,0.445,0.30486,1.19878,1.355,1.2009,0.00241,0.00241,0.00241
25,1476.56,1.2446,1.38706,1.26572,0.57286,0.41828,0.447,0.30753,1.19427,1.34588,1.19786,0.00208,0.00208,0.00208
26,1533.88,1.22433,1.35879,1.25614,0.57711,0.41976,0.451,0.31075,1.18944,1.34022,1.19315,0.00175,0.00175,0.00175
27,1590.21,1.21921,1.32862,1.25255,0.5747,0.42815,0.45613,0.31517,1.18738,1.33316,1.19131,0.00142,0.00142,0.00142
28,1647.81,1.19219,1.27623,1.23093,0.56859,0.43401,0.45642,0.31544,1.18791,1.32639,1.19132,0.00109,0.00109,0.00109
29,1703.74,1.19673,1.27227,1.23392,0.58763,0.42299,0.45643,0.31537,1.18551,1.32343,1.18954,0.00076,0.00076,0.00076
30,1760.53,1.1769,1.22877,1.2193,0.57861,0.4262,0.4582,0.31696,1.18526,1.31966,1.18897,0.00043,0.00043,0.00043
