epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.551,1.16053,1.26245,1.20999,0.5668,0.41,0.43894,0.30242,1.21282,1.41545,1.21,0.00332481,0.00332481,0.00332481
2,249.166,1.24766,1.48983,1.25916,0.43199,0.24596,0.22945,0.14767,1.50869,2.21669,1.4151,0.00643842,0.00643842,0.00643842
3,346.993,1.40578,1.89625,1.37126,0.24237,0.13917,0.08901,0.05075,1.81464,3.0097,1.73533,0.00933204,0.00933204,0.00933204
4,445.004,1.49652,2.1476,1.44547,0.34162,0.21123,0.17793,0.10636,1.60464,2.33223,1.5408,0.00901,0.00901,0.00901
5,543.378,1.45507,2.04214,1.41738,0.37539,0.22793,0.20237,0.12258,1.51917,2.20732,1.46182,0.00868,0.00868,0.00868
6,640.415,1.42137,1.94946,1.39627,0.42154,0.25199,0.24036,0.15114,1.46795,2.05474,1.42424,0.00835,0.00835,0.00835
7,737.909,1.39551,1.88758,1.37767,0.4629,0.27589,0.26885,0.1715,1.46717,1.97177,1.40798,0.00802,0.00802,0.00802
8,834.754,1.37438,1.82736,1.36342,0.45237,0.28679,0.28236,0.18192,1.41342,1.91335,1.34233,0.00769,0.00769,0.00769
9,931.86,1.35297,1.77577,1.34597,0.43531,0.32182,0.30967,0.20148,1.37784,1.76962,1.34159,0.00736,0.00736,0.00736
10,1028.77,1.34373,1.74256,1.33823,0.50376,0.32436,0.3399,0.22281,1.34785,1.68701,1.31664,0.00703,0.00703,0.00703
11,1125.68,1.3301,1.70157,1.32587,0.49248,0.34181,0.34854,0.22959,1.33777,1.65073,1.30687,0.0067,0.0067,0.0067
12,1221.45,1.31735,1.67237,1.31893,0.52341,0.34734,0.36345,0.24096,1.31838,1.60274,1.29463,0.00637,0.00637,0.00637
13,1317.78,1.30544,1.64813,1.31305,0.5153,0.36011,0.37421,0.25051,1.29437,1.57891,1.27581,0.00604,0.00604,0.00604
14,1413.44,1.29584,1.61381,1.30324,0.52319,0.3691,0.38484,0.25665,1.28956,1.54601,1.27599,0.00571,0.00571,0.00571
15,1509.35,1.2833,1.58785,1.29525,0.52814,0.37778,0.39693,0.26571,1.27369,1.50654,1.26441,0.00538,0.00538,0.00538
16,1604.69,1.27262,1.56796,1.29094,0.54869,0.38847,0.40536,0.27299,1.25949,1.479,1.25595,0.00505,0.00505,0.00505
17,1699.83,1.26244,1.54043,1.28186,0.54012,0.40037,0.41871,0.28471,1.2464,1.43934,1.24163,0.00472,0.00472,0.00472
18,1795.2,1.25345,1.51145,1.27376,0.54004,0.40612,0.42377,0.2888,1.23555,1.4225,1.23824,0.00439,0.00439,0.00439
19,1890.96,1.24785,1.49389,1.26896,0.54302,0.4144,0.43219,0.29428,1.22876,1.39705,1.22857,0.00406,0.00406,0.00406
20,1986.28,1.23832,1.47523,1.26372,0.56747,0.41339,0.44226,0.30297,1.21912,1.38584,1.21977,0.00373,0.00373,0.00373
21,2089.19,1.24272,1.41286,1.26334,0.57382,0.41422,0.44052,0.30134,1.21468,1.37875,1.22029,0.0034,0.0034,0.0034
22,2183.36,1.22779,1.36854,1.25163,0.56888,0.42692,0.44982,0.30838,1.21311,1.36501,1.21804,0.00307,0.00307,0.00307
23,2277.55,1.21281,1.34002,1.24236,0.57825,0.4242,0.45404,0.31248,1.20648,1.35035,1.21414,0.00274,0.00274,0.00274
24,2371.58,1.20232,1.31023,1.23473,0.57296,0.43481,0.45823,0.31498,1.20305,1.33961,1.21424,0.00241,0.00241,0.00241
25,2465.62,1.1899,1.28101,1.2234,0.58126,0.42706,0.46082,0.31882,1.19809,1.33372,1.205,0.00208,0.00208,0.00208
26,2559.57,1.17649,1.25074,1.21627,0.5813,0.4353,0.46295,0.32062,1.19575,1.32475,1.20349,0.00175,0.00175,0.00175
27,2653.68,1.16482,1.22329,1.20681,0.58681,0.43401,0.46491,0.32221,1.19708,1.31853,1.20411,0.00142,0.00142,0.00142
28,2747.57,1.15172,1.19327,1.19845,0.58618,0.43596,0.46614,0.32311,1.19224,1.31753,1.19995,0.00109,0.00109,0.00109
29,2841.65,1.14145,1.16803,1.19226,0.57931,0.43729,0.46678,0.32378,1.18962,1.31491,1.19824,0.00076,0.00076,0.00076
30,2935.58,1.12957,1.14316,1.18306,0.57224,0.44333,0.46766,0.32438,1.19033,1.31242,1.19831,0.00043,0.00043,0.00043
