epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.702,1.15945,1.25837,1.20908,0.57988,0.42757,0.45342,0.31101,1.2088,1.38838,1.19383,0.00332481,0.00332481,0.00332481
2,248.11,1.24244,1.48586,1.25812,0.44475,0.28245,0.2742,0.17225,1.44048,1.98741,1.38374,0.00643842,0.00643842,0.00643842
3,350.075,1.40056,1.89187,1.36987,0.2441,0.11896,0.0721,0.04114,1.83732,3.09329,1.73489,0.00933204,0.00933204,0.00933204
4,448.749,1.4916,2.1441,1.44541,0.27378,0.18406,0.13883,0.08191,1.66055,2.59845,1.58335,0.00901,0.00901,0.00901
5,546.393,1.45404,2.03681,1.41892,0.35001,0.24188,0.21116,0.1269,1.5442,2.1791,1.46211,0.00868,0.00868,0.00868
6,643.086,1.41781,1.94602,1.39683,0.41366,0.2259,0.21097,0.1328,1.52893,2.28268,1.46029,0.00835,0.00835,0.00835
7,739.512,1.39632,1.8899,1.3781,0.43335,0.26411,0.25547,0.16303,1.4296,1.95195,1.39347,0.00802,0.00802,0.00802
8,836.339,1.37286,1.82527,1.36147,0.45516,0.30606,0.30462,0.19727,1.40403,1.80021,1.34067,0.00769,0.00769,0.00769
9,932.578,1.34958,1.7694,1.34361,0.47054,0.3118,0.31852,0.20632,1.39397,1.78708,1.35702,0.00736,0.00736,0.00736
10,1028.88,1.34077,1.73687,1.33772,0.47669,0.31618,0.32065,0.20868,1.35719,1.7456,1.3273,0.00703,0.00703,0.00703
11,1125.21,1.32803,1.70775,1.32779,0.49832,0.33524,0.34181,0.22631,1.33478,1.70362,1.3073,0.0067,0.0067,0.0067
12,1221.41,1.31546,1.67005,1.31893,0.50664,0.33714,0.35186,0.234,1.31905,1.65145,1.31065,0.00637,0.00637,0.00637
13,1317.71,1.3027,1.64351,1.31075,0.5117,0.37391,0.3847,0.25715,1.29061,1.55446,1.27747,0.00604,0.00604,0.00604
14,1414.01,1.29344,1.60504,1.29976,0.51737,0.36143,0.38162,0.25459,1.29105,1.55439,1.28235,0.00571,0.00571,0.00571
15,1510.21,1.28455,1.58745,1.29562,0.54528,0.37359,0.39589,0.26818,1.25954,1.50975,1.26235,0.00538,0.00538,0.00538
16,1606.54,1.26934,1.56096,1.28756,0.55615,0.37775,0.40476,0.27431,1.26556,1.49419,1.25899,0.00505,0.00505,0.00505
17,1702.46,1.25962,1.54049,1.28015,0.5484,0.40077,0.41983,0.28521,1.24579,1.44001,1.24502,0.00472,0.00472,0.00472
18,1798.41,1.25168,1.50915,1.27094,0.55978,0.39548,0.4255,0.28902,1.23822,1.43796,1.23784,0.00439,0.00439,0.00439
19,1894.36,1.24371,1.49061,1.26684,0.56775,0.4098,0.43611,0.2981,1.22795,1.39598,1.2287,0.00406,0.00406,0.00406
20,1990.35,1.23447,1.46849,1.26003,0.55755,0.41831,0.44159,0.3034,1.21592,1.3813,1.21765,0.00373,0.00373,0.00373
21,2086.97,1.24149,1.41352,1.26142,0.57035,0.41901,0.44401,0.30396,1.21744,1.37302,1.21859,0.0034,0.0034,0.0034
22,2181.74,1.22301,1.36622,1.249,0.55561,0.42316,0.44986,0.31074,1.2087,1.3609,1.21311,0.00307,0.00307,0.00307
23,2276.62,1.20957,1.33971,1.24043,0.562,0.42979,0.45297,0.31375,1.20056,1.3465,1.21017,0.00274,0.00274,0.00274
24,2371.35,1.19884,1.31038,1.23325,0.57308,0.4279,0.45535,0.31656,1.19834,1.33642,1.20792,0.00241,0.00241,0.00241
25,2466.22,1.18651,1.2785,1.22264,0.5773,0.4308,0.46054,0.32007,1.19415,1.32752,1.20447,0.00208,0.00208,0.00208
26,2560.8,1.17461,1.25026,1.2145,0.58217,0.43471,0.46491,0.32234,1.18955,1.32044,1.19988,0.00175,0.00175,0.00175
27,2655.3,1.1633,1.22058,1.20502,0.59338,0.42905,0.46533,0.3231,1.18845,1.31578,1.19852,0.00142,0.00142,0.00142
28,2749.78,1.15152,1.19228,1.1978,0.57569,0.44069,0.46774,0.32503,1.18889,1.30986,1.19898,0.00109,0.00109,0.00109
29,2844.08,1.13866,1.1669,1.19122,0.58851,0.43644,0.46782,0.32597,1.18432,1.30557,1.19653,0.00076,0.00076,0.00076
30,2938.55,1.12492,1.14163,1.18247,0.59157,0.43545,0.46922,0.32693,1.18598,1.30457,1.19658,0.00043,0.00043,0.00043
