epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.497,1.33462,1.39474,1.32641,0.56857,0.42161,0.44728,0.29981,1.28474,1.42051,1.22284,0.00332481,0.00332481,0.00332481
2,249.893,1.39455,1.62694,1.35992,0.44565,0.26751,0.2634,0.16718,1.49776,2.08905,1.41056,0.00643842,0.00643842,0.00643842
3,348.659,1.52579,2.02151,1.46222,0.26219,0.10439,0.06818,0.03871,1.86153,3.24985,1.80635,0.00933204,0.00933204,0.00933204
4,447.289,1.60855,2.28732,1.5418,0.33264,0.20711,0.16156,0.09525,1.65149,2.44478,1.52569,0.00901,0.00901,0.00901
5,545.047,1.56307,2.16641,1.51006,0.33133,0.21824,0.18399,0.10885,1.61289,2.33558,1.53041,0.00868,0.00868,0.00868
6,641.85,1.5313,2.08902,1.48735,0.37458,0.24171,0.22483,0.14021,1.51119,2.14916,1.45411,0.00835,0.00835,0.00835
7,739.147,1.50318,2.00928,1.46231,0.40913,0.26321,0.24553,0.15005,1.54475,2.053,1.46834,0.00802,0.00802,0.00802
8,836.514,1.48061,1.95264,1.44669,0.45119,0.27676,0.27451,0.17195,1.47446,1.92476,1.40346,0.00769,0.00769,0.00769
9,933.279,1.46605,1.90659,1.43189,0.43159,0.29876,0.29283,0.18421,1.46779,1.85644,1.39785,0.00736,0.00736,0.00736
10,1030.15,1.44669,1.86436,1.42099,0.48295,0.31262,0.315,0.20196,1.40884,1.78072,1.3552,0.00703,0.00703,0.00703
11,1126.77,1.4328,1.82638,1.4146,0.48458,0.32206,0.33263,0.21387,1.38599,1.70884,1.3302,0.0067,0.0067,0.0067
12,1223.28,1.42386,1.78708,1.40205,0.48315,0.3279,0.3392,0.2211,1.36622,1.68839,1.33054,0.00637,0.00637,0.00637
13,1320.72,1.41487,1.76667,1.39257,0.50264,0.36106,0.37135,0.2418,1.34222,1.58827,1.30098,0.00604,0.00604,0.00604
14,1417.43,1.40099,1.7282,1.3853,0.51961,0.36856,0.38091,0.25103,1.31825,1.5646,1.28839,0.00571,0.00571,0.00571
15,1513.64,1.39063,1.71008,1.3806,0.52881,0.37945,0.39187,0.25923,1.31559,1.54037,1.28439,0.00538,0.00538,0.00538
16,1609.86,1.3794,1.68383,1.37096,0.52851,0.37968,0.3962,0.25709,1.34949,1.5289,1.29385,0.00505,0.00505,0.00505
17,1705.97,1.37175,1.65959,1.36091,0.51782,0.39756,0.40685,0.27326,1.28041,1.48423,1.26393,0.00472,0.00472,0.00472
18,1801.79,1.3629,1.63774,1.35961,0.54973,0.39237,0.4173,0.27907,1.27964,1.47076,1.25657,0.00439,0.00439,0.00439
19,1898.34,1.35206,1.61114,1.35108,0.52926,0.40269,0.42157,0.28343,1.27611,1.4451,1.25476,0.00406,0.00406,0.00406
20,1994.46,1.34102,1.58869,1.3427,0.55596,0.40126,0.4271,0.2896,1.25665,1.42355,1.24336,0.00373,0.00373,0.00373
21,2090.87,1.36351,1.52161,1.3566,0.54523,0.40316,0.42689,0.28776,1.26711,1.42381,1.25231,0.0034,0.0034,0.0034
22,2185.76,1.34402,1.47784,1.34689,0.53768,0.41868,0.43967,0.29717,1.25002,1.39931,1.24,0.00307,0.00307,0.00307
23,2280.45,1.33132,1.44664,1.33519,0.55522,0.41992,0.44372,0.30197,1.24231,1.38342,1.23566,0.00274,0.00274,0.00274
24,2375.11,1.31763,1.41368,1.32529,0.56207,0.42407,0.44767,0.30479,1.23796,1.37533,1.23192,0.00241,0.00241,0.00241
25,2469.93,1.30101,1.38027,1.3149,0.56634,0.42678,0.45175,0.30829,1.23068,1.36414,1.22522,0.00208,0.00208,0.00208
26,2564.64,1.29142,1.35005,1.30478,0.57458,0.42173,0.45378,0.31073,1.22903,1.35371,1.22208,0.00175,0.00175,0.00175
27,2659.83,1.27388,1.32123,1.29402,0.57273,0.42669,0.45615,0.31132,1.22508,1.35107,1.21798,0.00142,0.00142,0.00142
28,2754.51,1.26147,1.29277,1.28454,0.5722,0.42295,0.45481,0.31179,1.22439,1.35199,1.21909,0.00109,0.00109,0.00109
29,2849.36,1.24439,1.26597,1.27472,0.56288,0.4269,0.45476,0.31173,1.22378,1.34655,1.21898,0.00076,0.00076,0.00076
30,2944.99,1.23234,1.23855,1.26474,0.55625,0.432,0.45616,0.31274,1.22251,1.34424,1.21793,0.00043,0.00043,0.00043
