epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.092,1.17008,1.28148,1.21545,0.58862,0.43347,0.46104,0.31635,1.20803,1.36656,1.19751,0.00332481,0.00332481,0.00332481
2,248.717,1.25377,1.5101,1.26428,0.44816,0.27167,0.26369,0.16977,1.42034,2.00259,1.35769,0.00643842,0.00643842,0.00643842
3,345.749,1.41258,1.9118,1.37607,0.26584,0.09205,0.06188,0.03481,1.79861,3.2773,1.72277,0.00933204,0.00933204,0.00933204
4,444.521,1.50283,2.1709,1.45145,0.29158,0.17426,0.13165,0.07962,1.62405,2.60227,1.59664,0.00901,0.00901,0.00901
5,543.449,1.45925,2.05892,1.4233,0.35308,0.20733,0.17783,0.10831,1.54814,2.40492,1.50843,0.00868,0.00868,0.00868
6,642.084,1.42672,1.96647,1.40106,0.40805,0.25599,0.24042,0.14863,1.49266,2.04252,1.43134,0.00835,0.00835,0.00835
7,739.592,1.40567,1.91273,1.38314,0.43274,0.25892,0.257,0.16459,1.44946,2.0099,1.4036,0.00802,0.00802,0.00802
8,836.953,1.3804,1.84485,1.36639,0.44735,0.27638,0.27026,0.17382,1.43222,1.9228,1.37523,0.00769,0.00769,0.00769
9,936.103,1.35787,1.79277,1.34972,0.4576,0.31526,0.31519,0.20545,1.38132,1.77188,1.36075,0.00736,0.00736,0.00736
10,1033.82,1.34767,1.75702,1.34334,0.44564,0.31289,0.31574,0.20571,1.36839,1.74701,1.33454,0.00703,0.00703,0.00703
11,1131.07,1.33598,1.72738,1.33362,0.48946,0.34388,0.34712,0.22965,1.32869,1.65844,1.31383,0.0067,0.0067,0.0067
12,1227.97,1.32324,1.68932,1.32325,0.48194,0.34357,0.35074,0.23331,1.32517,1.67265,1.31234,0.00637,0.00637,0.00637
13,1324.89,1.30992,1.66343,1.31752,0.50945,0.3616,0.37661,0.25149,1.2918,1.57459,1.27949,0.00604,0.00604,0.00604
14,1422.32,1.30298,1.62834,1.30671,0.51589,0.36928,0.38484,0.25726,1.28828,1.53397,1.27476,0.00571,0.00571,0.00571
15,1520.02,1.29106,1.60824,1.30005,0.52506,0.38653,0.40089,0.27109,1.25929,1.4941,1.2563,0.00538,0.00538,0.00538
16,1617.39,1.27713,1.58196,1.29515,0.54344,0.38263,0.40369,0.27191,1.25747,1.48858,1.25141,0.00505,0.00505,0.00505
17,1716.09,1.26835,1.5628,1.28655,0.55636,0.3907,0.42211,0.2875,1.24419,1.4412,1.24193,0.00472,0.00472,0.00472
18,1814.54,1.26122,1.53172,1.27796,0.56634,0.39494,0.42499,0.28955,1.24162,1.4273,1.2357,0.00439,0.00439,0.00439
19,1913.52,1.25227,1.51257,1.27334,0.55445,0.40972,0.43321,0.29598,1.22798,1.39394,1.22741,0.00406,0.00406,0.00406
20,2012.66,1.24251,1.48909,1.26741,0.55737,0.41281,0.43786,0.29971,1.22388,1.3821,1.22717,0.00373,0.00373,0.00373
21,2111.46,1.25069,1.43479,1.26889,0.54968,0.42295,0.44124,0.30379,1.21839,1.38129,1.22186,0.0034,0.0034,0.0034
22,2208.36,1.23408,1.3822,1.25596,0.57607,0.41097,0.44416,0.30541,1.21435,1.36613,1.218,0.00307,0.00307,0.00307
23,2305.25,1.22127,1.35438,1.24893,0.55797,0.42565,0.45024,0.31057,1.20894,1.35066,1.21558,0.00274,0.00274,0.00274
24,2402.13,1.21135,1.32587,1.24169,0.56571,0.42482,0.45243,0.31376,1.2012,1.34498,1.21161,0.00241,0.00241,0.00241
25,2499.12,1.19614,1.29269,1.23009,0.58001,0.427,0.45911,0.31804,1.19659,1.32948,1.20728,0.00208,0.00208,0.00208
26,2596.37,1.18329,1.26533,1.22182,0.58062,0.43238,0.46122,0.32011,1.19602,1.32347,1.20498,0.00175,0.00175,0.00175
27,2693.4,1.17116,1.23741,1.2114,0.57245,0.43898,0.46282,0.32113,1.19426,1.31938,1.20242,0.00142,0.00142,0.00142
28,2790.17,1.15879,1.20963,1.20351,0.58148,0.43648,0.46425,0.32164,1.1913,1.31804,1.19957,0.00109,0.00109,0.00109
29,2886.87,1.14764,1.1843,1.19626,0.5764,0.43989,0.46621,0.32257,1.19046,1.31447,1.20017,0.00076,0.00076,0.00076
30,2983.94,1.13478,1.15679,1.18941,0.57974,0.44027,0.46648,0.32312,1.18951,1.31333,1.1993,0.00043,0.00043,0.00043
