epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.094,1.1986,1.2885,1.2363,0.56801,0.42022,0.44451,0.30592,1.21192,1.39947,1.19577,0.00332481,0.00332481,0.00332481
2,248.347,1.28258,1.52141,1.28488,0.46771,0.29016,0.28767,0.18229,1.41717,1.89482,1.35143,0.00643842,0.00643842,0.00643842
3,346.738,1.43934,1.92358,1.39371,0.20106,0.11085,0.0603,0.03419,1.82359,3.49307,1.73423,0.00933204,0.00933204,0.00933204
4,445.305,1.52882,2.17538,1.46921,0.2605,0.16579,0.12883,0.07562,1.68919,2.69133,1.62879,0.00901,0.00901,0.00901
5,543.159,1.49067,2.07347,1.44383,0.33438,0.2024,0.17101,0.10525,1.58314,2.42346,1.53575,0.00868,0.00868,0.00868
6,639.937,1.45486,1.97703,1.41859,0.41643,0.25782,0.24619,0.15472,1.4957,2.03786,1.44446,0.00835,0.00835,0.00835
7,737.997,1.42925,1.92258,1.39727,0.40562,0.26957,0.26215,0.16568,1.46091,1.96609,1.41256,0.00802,0.00802,0.00802
8,835.038,1.40389,1.85598,1.38152,0.45388,0.29067,0.28962,0.18587,1.40521,1.85565,1.35757,0.00769,0.00769,0.00769
9,931.678,1.38147,1.80012,1.36351,0.48864,0.32364,0.32946,0.21431,1.36691,1.70917,1.34006,0.00736,0.00736,0.00736
10,1028.62,1.3707,1.76696,1.35474,0.48163,0.33123,0.33588,0.2177,1.35946,1.68733,1.3215,0.00703,0.00703,0.00703
11,1125.67,1.35769,1.73664,1.34497,0.49695,0.3292,0.33825,0.22338,1.33365,1.68038,1.31194,0.0067,0.0067,0.0067
12,1221.85,1.34545,1.6979,1.33555,0.51247,0.339,0.3526,0.23381,1.33321,1.67857,1.32555,0.00637,0.00637,0.00637
13,1318.54,1.33207,1.67823,1.32778,0.50064,0.36997,0.37948,0.25249,1.29026,1.57772,1.2828,0.00604,0.00604,0.00604
14,1415.39,1.32071,1.64103,1.31601,0.50738,0.3691,0.38024,0.25341,1.29632,1.56333,1.28594,0.00571,0.00571,0.00571
15,1512.3,1.30753,1.61764,1.30827,0.54039,0.36623,0.38828,0.2612,1.27687,1.53168,1.26565,0.00538,0.00538,0.00538
16,1608.86,1.29357,1.59209,1.30206,0.54487,0.38171,0.40149,0.27018,1.26779,1.4939,1.25897,0.00505,0.00505,0.00505
17,1705.24,1.28396,1.56887,1.29347,0.53122,0.39802,0.41517,0.28174,1.25324,1.45276,1.25056,0.00472,0.00472,0.00472
18,1801.39,1.27557,1.53808,1.28492,0.54703,0.40408,0.42413,0.28775,1.24759,1.44002,1.24369,0.00439,0.00439,0.00439
19,1898.05,1.26766,1.52093,1.27999,0.55057,0.40537,0.42774,0.29187,1.23208,1.40186,1.23241,0.00406,0.00406,0.00406
20,1994.48,1.25737,1.49809,1.27279,0.55738,0.4086,0.43654,0.29776,1.22556,1.39684,1.22851,0.00373,0.00373,0.00373
21,2092.19,1.26421,1.44166,1.2747,0.55668,0.41464,0.43586,0.29892,1.22278,1.3873,1.22386,0.0034,0.0034,0.0034
22,2187.61,1.24484,1.38964,1.26152,0.56111,0.41922,0.44281,0.30348,1.21577,1.37254,1.22155,0.00307,0.00307,0.00307
23,2282.85,1.23287,1.36538,1.2547,0.57784,0.41797,0.44719,0.30557,1.21183,1.3643,1.21796,0.00274,0.00274,0.00274
24,2377.79,1.22089,1.33338,1.24515,0.54607,0.42707,0.44862,0.30908,1.20924,1.35155,1.21391,0.00241,0.00241,0.00241
25,2472.78,1.20899,1.30235,1.23607,0.54727,0.43296,0.45321,0.31314,1.20285,1.33821,1.20933,0.00208,0.00208,0.00208
26,2567.37,1.19402,1.27363,1.22635,0.55959,0.43015,0.45711,0.31602,1.19814,1.33154,1.20696,0.00175,0.00175,0.00175
27,2662.07,1.184,1.24374,1.21777,0.57365,0.43042,0.46002,0.31827,1.19766,1.32432,1.20602,0.00142,0.00142,0.00142
28,2757.09,1.17023,1.21553,1.20866,0.57623,0.43165,0.46301,0.31983,1.1975,1.31958,1.20538,0.00109,0.00109,0.00109
29,2852.43,1.15968,1.19111,1.20126,0.57104,0.43312,0.46266,0.31971,1.19553,1.31818,1.20431,0.00076,0.00076,0.00076
30,2947.57,1.14532,1.16531,1.19179,0.57139,0.43505,0.4633,0.32007,1.19613,1.3166,1.20381,0.00043,0.00043,0.00043
